1_2_LC08_172029_20150423_red,1_2_LC08_172029_20150423_nir,1_2_LC08_172029_20150423_blue,1_2_LC08_172029_20150423_swir1,1_2_LC08_172029_20150423_green,1_2_LC08_172029_20150423_swir2,1_2_LC08_172029_20150610_red,1_2_LC08_172029_20150610_nir,1_2_LC08_172029_20150610_blue,1_2_LC08_172029_20150610_swir1,1_2_LC08_172029_20150610_green,1_2_LC08_172029_20150610_swir2,1_2_LC08_172029_20150712_red,1_2_LC08_172029_20150712_nir,1_2_LC08_172029_20150712_blue,1_2_LC08_172029_20150712_swir1,1_2_LC08_172029_20150712_green,1_2_LC08_172029_20150712_swir2,1_2_LC08_172029_20150728_red,1_2_LC08_172029_20150728_nir,1_2_LC08_172029_20150728_blue,1_2_LC08_172029_20150728_swir1,1_2_LC08_172029_20150728_green,1_2_LC08_172029_20150728_swir2,1_2_LC08_172029_20150813_red,1_2_LC08_172029_20150813_nir,1_2_LC08_172029_20150813_blue,1_2_LC08_172029_20150813_swir1,1_2_LC08_172029_20150813_green,1_2_LC08_172029_20150813_swir2,1_2_LC08_172029_20150829_red,1_2_LC08_172029_20150829_nir,1_2_LC08_172029_20150829_blue,1_2_LC08_172029_20150829_swir1,1_2_LC08_172029_20150829_green,1_2_LC08_172029_20150829_swir2,1_2_LC08_172029_20150930_red,1_2_LC08_172029_20150930_nir,1_2_LC08_172029_20150930_blue,1_2_LC08_172029_20150930_swir1,1_2_LC08_172029_20150930_green,1_2_LC08_172029_20150930_swir2,1_2_LC08_173028_20150414_red,1_2_LC08_173028_20150414_nir,1_2_LC08_173028_20150414_blue,1_2_LC08_173028_20150414_swir1,1_2_LC08_173028_20150414_green,1_2_LC08_173028_20150414_swir2,1_2_LC08_173028_20150430_red,1_2_LC08_173028_20150430_nir,1_2_LC08_173028_20150430_blue,1_2_LC08_173028_20150430_swir1,1_2_LC08_173028_20150430_green,1_2_LC08_173028_20150430_swir2,1_2_LC08_173028_20150516_red,1_2_LC08_173028_20150516_nir,1_2_LC08_173028_20150516_blue,1_2_LC08_173028_20150516_swir1,1_2_LC08_173028_20150516_green,1_2_LC08_173028_20150516_swir2,1_2_LC08_173028_20150601_red,1_2_LC08_173028_20150601_nir,1_2_LC08_173028_20150601_blue,1_2_LC08_173028_20150601_swir1,1_2_LC08_173028_20150601_green,1_2_LC08_173028_20150601_swir2,1_2_LC08_173028_20150719_red,1_2_LC08_173028_20150719_nir,1_2_LC08_173028_20150719_blue,1_2_LC08_173028_20150719_swir1,1_2_LC08_173028_20150719_green,1_2_LC08_173028_20150719_swir2,1_2_LC08_173028_20150804_red,1_2_LC08_173028_20150804_nir,1_2_LC08_173028_20150804_blue,1_2_LC08_173028_20150804_swir1,1_2_LC08_173028_20150804_green,1_2_LC08_173028_20150804_swir2,1_2_LC08_173028_20150820_red,1_2_LC08_173028_20150820_nir,1_2_LC08_173028_20150820_blue,1_2_LC08_173028_20150820_swir1,1_2_LC08_173028_20150820_green,1_2_LC08_173028_20150820_swir2,1_2_LC08_173028_20150905_red,1_2_LC08_173028_20150905_nir,1_2_LC08_173028_20150905_blue,1_2_LC08_173028_20150905_swir1,1_2_LC08_173028_20150905_green,1_2_LC08_173028_20150905_swir2,1_2_LC08_173028_20150921_red,1_2_LC08_173028_20150921_nir,1_2_LC08_173028_20150921_blue,1_2_LC08_173028_20150921_swir1,1_2_LC08_173028_20150921_green,1_2_LC08_173028_20150921_swir2,1_2_LC08_173028_20151007_red,1_2_LC08_173028_20151007_nir,1_2_LC08_173028_20151007_blue,1_2_LC08_173028_20151007_swir1,1_2_LC08_173028_20151007_green,1_2_LC08_173028_20151007_swir2,1_2_LC08_173029_20150414_red,1_2_LC08_173029_20150414_nir,1_2_LC08_173029_20150414_blue,1_2_LC08_173029_20150414_swir1,1_2_LC08_173029_20150414_green,1_2_LC08_173029_20150414_swir2,1_2_LC08_173029_20150430_red,1_2_LC08_173029_20150430_nir,1_2_LC08_173029_20150430_blue,1_2_LC08_173029_20150430_swir1,1_2_LC08_173029_20150430_green,1_2_LC08_173029_20150430_swir2,1_2_LC08_173029_20150516_red,1_2_LC08_173029_20150516_nir,1_2_LC08_173029_20150516_blue,1_2_LC08_173029_20150516_swir1,1_2_LC08_173029_20150516_green,1_2_LC08_173029_20150516_swir2,1_2_LC08_173029_20150601_red,1_2_LC08_173029_20150601_nir,1_2_LC08_173029_20150601_blue,1_2_LC08_173029_20150601_swir1,1_2_LC08_173029_20150601_green,1_2_LC08_173029_20150601_swir2,1_2_LC08_173029_20150719_red,1_2_LC08_173029_20150719_nir,1_2_LC08_173029_20150719_blue,1_2_LC08_173029_20150719_swir1,1_2_LC08_173029_20150719_green,1_2_LC08_173029_20150719_swir2,1_2_LC08_173029_20150804_red,1_2_LC08_173029_20150804_nir,1_2_LC08_173029_20150804_blue,1_2_LC08_173029_20150804_swir1,1_2_LC08_173029_20150804_green,1_2_LC08_173029_20150804_swir2,1_2_LC08_173029_20150905_red,1_2_LC08_173029_20150905_nir,1_2_LC08_173029_20150905_blue,1_2_LC08_173029_20150905_swir1,1_2_LC08_173029_20150905_green,1_2_LC08_173029_20150905_swir2,1_2_LC08_173029_20150921_red,1_2_LC08_173029_20150921_nir,1_2_LC08_173029_20150921_blue,1_2_LC08_173029_20150921_swir1,1_2_LC08_173029_20150921_green,1_2_LC08_173029_20150921_swir2,system:index,field_id
1.1864200581139386,1.4666569142050137,0.9584372497365647,1.9745179878048784,1.0717269452108793,1.6897820762260132,1.1337376633358953,1.9041928447903151,0.9213499999999997,1.908425385596661,1.0932408068986754,1.5217322650148126,0.8935089140475945,2.620777369624885,0.8070838074398253,1.48247894834634,0.9736413305530169,1.0604327840416303,0.924758627753472,2.353683501178486,0.8090108441300206,1.4393675210538879,1.0141589259796808,1.0536893617021275,1.1453484848484847,1.7714775398094709,0.9116334792993631,1.5654756891208608,1.1147264621063557,1.2392765957446812,1.1240438870614033,1.4903495652173908,0.9065331861198743,1.772386363636364,1.0258876801152739,1.4824448804084926,,,,,,,,,,,,,,,,,,,1.2902251336898396,1.7296,0.9966424242424242,2.0526999999999997,1.15875,1.698578854625551,1.2354333333333336,1.8881249999999998,0.9712500000000001,2.13618,1.14402,1.72864,,,,,,,0.9971242252023873,2.11142191603477,0.8345112519809826,1.4512220353453427,1.0594528044990381,1.0840503738685554,,,,,,,1.1157677419354837,1.443494204925037,0.905999690125327,1.782115362792297,1.012232075471698,1.4775362301250154,1.2296570264262783,1.607397764874323,0.9537162358506505,1.9123576670233913,1.0942855342465758,1.580011310054798,,,,,,,,,,,,,,,,,,,1.291343253968254,1.7487509999999997,0.9909987980769229,2.0434604790419164,1.158875,1.6877,1.2343,1.9103,0.9738,2.1562,1.1461,1.7316,,,,,,,0.9940589878817255,2.1153429860001887,0.825724409090909,1.4512855270946565,1.055649300322928,1.0878878068410462,1.114692532681275,1.4435510832738947,0.9050148148148153,1.7803079168688338,1.011269379391101,1.475632727272727,1.2277709677419355,1.6075584149245827,0.9506989288774632,1.9121919658622721,1.0922454036196498,1.5762600146611032,0,1
0.8877204721056156,1.7794861111111113,0.8559472500342892,1.400304621878801,0.9252896950495051,1.1542472522198224,0.8896494528730772,2.012392771084337,0.7983548980016036,1.3063145705196182,0.9242811934156379,1.0361021773588055,1.2442730505149584,1.61354103228593,0.9428307139953934,1.7168845988152939,1.0925552631578943,1.3927265197633543,1.388705926963015,1.9665748928060984,0.9988861080763092,2.1076444444444444,1.1882842105263158,1.6034316901408452,0.9364739354159073,1.0409782274446073,0.8737432577794852,1.2674078431372549,0.9145807692307693,1.324998858499096,1.004867382221582,1.1581827272727274,0.9084396825396821,1.5723740740740744,0.951657928802589,1.6180872088857043,,,,,,,,,,,,,,,,,,,0.8381285871964679,2.707814238773275,0.8416111111111112,1.4411940793754063,0.9343537624660019,1.0589193548387097,0.8290917810540586,2.3160558848433523,0.7938386981035367,1.2748554587056002,0.891822993001235,0.9757294117647058,,,,,,,1.384834872824632,1.9982552063789867,0.9812604405286343,2.0956799999999998,1.1826252830188682,1.560574153498871,,,,,,,0.9892286802744039,1.1309861692163594,0.8889364559252189,1.5019647196571377,0.9370506138463485,1.5028897959183674,1.003061223028303,1.1661193320385872,0.8999001884042519,1.533313918554746,0.9526373487701307,1.4931409754147509,,,,,,,,,,,,,,,,,,,0.8337024161073826,2.7067666666666668,0.8504545454545454,1.4330923076923079,0.9343785714285715,1.0509246212812557,0.8250797315664288,2.3092044564483456,0.7915762488218662,1.2722868521827926,0.889736684073107,0.97547,,,,,,,1.384624658385093,1.9979311644339763,0.9813799519166555,2.095078977272727,1.1806595092024539,1.564591774675972,0.9911796695652174,1.130835550808666,0.8977306125058608,1.498094797238999,0.9418373340091234,1.5009776178010472,1.004980421145434,1.1661603999370178,0.9096376498412491,1.5330068925233644,0.9575698809432958,1.489240575678781,1,2
0.8285822222222222,1.8420562499999997,0.8239726181474478,1.239215076643808,0.8831055555555554,1.0147325316820275,0.8540259259259257,2.1502217877988326,0.7859135758752643,1.2354035211267607,0.9011013940671095,0.9697446601941745,1.2791751537870049,1.7051184042553194,0.9697530151440599,1.7561663722205298,1.1221838709677419,1.3819153846153849,1.419837771275299,2.0330569961849196,0.995071111111111,2.162029986431479,1.2022245414231,1.607306306723467,1.420157384760113,2.0434489361702126,0.9892875,2.082171428571429,1.2040488687782804,1.5264313624678665,1.3377344122891237,1.902343653955606,0.975604622956583,2.0214460978147764,1.1513062104819447,1.5642499214806507,,,,,,,,,,,,,,,,,,,,,,,,,0.8024194680862835,2.5115923780487805,0.7869951932839703,1.2072232302654735,0.8692060607988601,0.9236483053033433,,,,,,,1.4040761904761905,2.058357311420143,0.9717678869134359,2.1132611810861044,1.1923844283276452,1.5445171315412487,,,,,,,1.3382142641382784,1.8552112985359643,0.9639932537749635,2.0102,1.1434229576486925,1.54110435807582,1.1102841373315948,1.4513702804323987,0.9128052327894947,1.7675170350673097,1.0180217469262294,1.479468571428571,,,,,,,,,,,,,,,,,,,,,,,,,0.7948570819112635,2.5193809912573926,0.7988190162659228,1.2066938588204983,0.8691880194849014,0.9198245763605063,,,,,,,1.4041662320607824,2.058338191780822,0.9717492570643306,2.11302541347577,1.192406637939879,1.5485968828980625,1.3379772727272725,1.8558203525108081,0.9674818181818182,2.0099683306055645,1.1434909090909091,1.540896003562945,1.108528176318064,1.4512902332937923,0.9145642605633806,1.7674210526315788,1.0161435979356108,1.4756045650832819,2,3
1.1592151108009074,1.434525866392336,0.9457653541525233,1.8846592406336438,1.0542803413714397,1.6388002251618345,1.1747043785310733,1.5740140976569494,0.937926105490508,1.8378241546563199,1.075619512195122,1.5917473684210528,0.936571017499549,2.10505625,0.8813418050473777,1.6356911749788672,0.9955925883694412,1.2714041555235551,0.9034482181977509,1.9514280428891246,0.8315542205828996,1.466779078554452,0.9516133804422158,1.138877138054213,0.9834936142397421,1.9433129667296238,0.8393713279819744,1.5400658301965706,1.0024274067142358,1.184686111111111,0.9814179125720095,1.92733618513324,0.8325404716473411,1.5293822179255288,1.0054144211238998,1.1814849075545888,,,,,,,,,,,,,,,,,,,0.9039,1.44828,0.81575,1.3317999999999999,0.9324856502242151,1.0867499999999999,1.161931683168317,1.511431204379562,0.9316129270880268,1.853917773019271,1.0526744463259214,1.5995593365436058,,,,,,,0.9794977440408624,1.9235470709231526,0.8334626659791159,1.5175193910972156,0.9975680602572778,1.1739699106122725,,,,,,,1.0828591940976162,1.8453652401870477,0.8598134591584159,1.5769096996553422,1.0619666666666667,1.223578246153846,1.0413707746478873,1.4266895273899032,0.8708669576604102,1.5419566438062582,0.9767623441918928,1.3506198066298343,,,,,,,,,,,,,,,,,,,0.8977333333333334,1.4501187910643891,0.81885,1.332272895863053,0.9330499999999999,1.1046,1.1583,1.511483215736583,0.9306787547452282,1.8536254545454542,1.0537394214326428,1.5956517241379307,,,,,,,0.9776351652056641,1.9235337789161933,0.8334459020521215,1.5174763624614056,0.9974776514272453,1.1774674893397084,1.081183918539326,1.8459113983391373,0.8558642517380168,1.5751056795131848,1.0610243679775282,1.2216803536345775,1.0395767926988264,1.4250235844642019,0.868417751251444,1.5401095455638374,0.9760246865461377,1.3485778107606678,3,4
0.9728,1.17675,0.8847999999999999,1.5697565217391305,0.9364999999999999,1.4965,1.12,2.5759499999999997,1.0089,1.3876175090252707,1.178404938271605,1.0752854229154172,1.0867114327062226,2.0402625336927223,0.871,1.5755822709163347,1.05420823798627,1.2398435582822085,1.1189,1.9220603773584906,0.8749000000000001,1.73095,1.0427,1.33119806763285,1.4561,1.9982333333333333,1.0729,2.1026524691358026,1.2745,1.6849500000000002,1.1270186666666666,1.4113,0.9253877470355732,1.7389,1.0392,1.5646457264957263,,,,,,,,,,,,,,,,,,,,,,,,,0.9112501642935379,2.6835811320754717,0.8235954022988506,1.392432068965517,1.0179577154308617,1.0179763860369613,,,,,,,1.1360628205128203,1.9131,0.8839388888888889,1.7401370967741936,1.0409,1.321,,,,,,,1.1362,1.3955,0.9272,1.718858352402746,1.0413,1.52549375,1.006,1.2154,0.8836,1.5883,0.9485,1.467884375,1.1011,1.3384,0.917099609375,1.6867,1.0313,1.5227499999999998,,,,,,,,,,,,,,,,,,,0.9086343839541547,2.6698,0.8264,1.3931122587968219,1.018,1.0176574468085107,,,,,,,1.1349,1.9135,0.8783,1.7389,1.0415,1.3224,1.1333,1.3965,0.9221,1.7171082706766916,1.039,1.5229,1.0083,1.2136,0.8909,1.5858,0.95095,1.4649,4,5
0.8512,1.8608,0.8336,1.3068,0.8984,1.0742,0.8968,1.9484,0.7992,1.3079,0.9292,1.0348,1.094,1.5672,0.8799,1.5794,1.0055,1.2746,1.3069,1.6992,0.9748,1.9394,1.1577,1.6492,1.3072,1.6615,0.992,1.946,1.1641,1.6842,1.3009,1.6262,1.0029,1.9158,1.1607,1.668,,,,,,,,,,,,,,,,,,,0.8313,2.8561,0.8277,1.4437,0.9326,1.0772,0.8165,2.4356,0.7886,1.2723,0.8886,0.9768,,,,,,,1.2623,1.6305,0.9704,1.9346,1.1259,1.6747,,,,,,,1.2828,1.5816,0.9868,1.87,1.1434,1.6281,1.195,1.5137,0.9554,1.828,1.0859,1.5714,1.2181,1.6881,0.9538,1.8763,1.1184,1.5672,,,,,,,,,,,,,,,,,,,0.8196,2.4358,0.8031,1.2744,0.8951,0.9787,,,,,,,1.2592,1.6301,0.9675,1.9331,1.124,1.678,1.2834,1.5833,0.988,1.8692,1.1414,1.6265,1.1937,1.5141,0.9502,1.8268,1.0829,1.5676,5,6
1.038163227953411,1.2884,0.9190331585845348,1.7232500000000002,0.9872,1.6546,0.9235,1.9944,0.8444,1.58,0.9820689466484267,1.2091,0.864,2.3287,0.8321,1.4979,0.9694,1.0987,1.0796,1.910996,0.8806217647058824,1.762783569405099,1.0434913946587538,1.3465356172839507,1.1068762135922332,1.9023,0.8805049504950496,1.7407,1.0475868824531516,1.3288097959183673,1.1603,1.728347806004619,0.9153,1.8412450628366246,1.0548,1.4710729166666667,,,,,,,,,,,,,,,,,,,1.0403,1.7264,0.946,1.8034,1.0498,1.5779,0.9447,1.8569,0.8748,1.6878,0.995,1.315,,,,,,,1.0717951456310681,1.8961,0.8688,1.7308,1.0251692506459948,1.311723890784983,,,,,,,1.1622,1.6838,0.916,1.8357,1.0509555169417897,1.457303692762186,1.0224,1.3475,0.8894,1.5815517857142858,0.9674792207792209,1.4309,1.1111608495981629,1.4542,0.9156543828264756,1.7221021803766103,1.0385,1.5136,,,,,,,,,,,,,1.0323,1.6811,0.9127,1.7994,1.0261,1.595,0.941,1.852845436105477,0.8803,1.6634,0.9955,1.3103,,,,,,,1.0714808411214953,1.8946,0.8679,1.7304,1.0248629722921918,1.314,1.1613073260073261,1.68405,0.9146,1.8334913043478263,1.0500548135299221,1.455465306122449,1.0211999999999999,1.3455,0.8912691156462584,1.5801494047619047,0.9669,1.4271964509394572,6,7
0.8532037735849057,1.8883787321063394,0.8397,1.3351,0.9087,1.0711390793339863,0.86365,2.0850056603773583,0.7937133333333334,1.25705,0.9133,0.9908563318777294,,,,,,,1.3056666666666665,1.6825714285714284,0.984,1.939568316831683,1.1538333333333333,1.6540249999999999,1.2863499999999999,1.6104666666666667,0.9799249999999999,1.893169578313253,1.143975,1.6546347931873477,1.2567750000000002,1.5461,0.9682684876365728,1.8253333333333333,1.1197375,1.61985,,,,,,,,,,,,,,,,,,,0.8642,2.7909,0.86,1.4935,0.9544,1.1163,1.4624,2.3998,1.4277,1.8453,1.4881,1.5512,,,,,,,1.235125,1.5726600000000002,0.9592608832807571,1.8769428571428572,1.1049666666666667,1.6387461185718963,,,,,,,1.2413666666666667,1.5084,0.9612166666666667,1.775783443708609,1.1101618243243243,1.5759857142857143,1.151375824175824,1.470012486427796,0.9291,1.7398724440116846,1.0532485193621868,1.4974506610576923,1.17712,1.6089,0.924200227445034,1.7574,1.08644,1.477642928039702,,,,,,,,,,,,,,,,,,,0.96,2.4604,0.9266,1.6024,1.0532,1.3035,,,,,,,1.2351750000000001,1.57198,0.9602777777777778,1.8766426419965578,1.1059333333333334,1.6426416666666668,1.2390666666666665,1.5088000000000001,0.9603765765765766,1.7755833333333333,1.110629875518672,1.572711111111111,1.1492116372391652,1.4698955483170468,0.92522,1.7371738072054528,1.0511499999999998,1.4934841199333706,7,8
1.0119,1.2933,0.8985,1.6633,0.9665,1.5765,0.9927,1.7861,0.8824,1.6441,1.0138,1.4024,0.8659,2.4672,0.8227,1.5264,0.951,1.1147,0.9617,2.2178,0.8262,1.5265,0.9972,1.1531,1.1332,2.0855,0.8924,1.6735,1.0801,1.2671,1.1071,1.8946,0.8807,1.6677,1.028,1.2917,,,,,,,,,,,,,,,,,,,,,,,,,1.0148,1.7443,0.9147,1.7396,1.0181,1.5259,,,,,,,1.0184,2.1071,0.8463,1.5946,1.0152,1.2012,,,,,,,1.2624,1.978,0.9548,1.8406,1.1248,1.4027,1.1043,1.5256,0.89,1.6795,1.0097,1.3831,1.1647,1.6332,0.9086,1.7956,1.0721,1.4555,,,,,,,,,,,,,,,,,,,1.0234,1.7524,0.9139,1.7338,1.0148,1.5204,,,,,,,1.0123,2.1011,0.8413,1.5898,1.0148,1.2011,1.2615,1.9789,0.9506,1.8396,1.1252,1.4006,1.1022,1.526,0.8867,1.6785,1.0081,1.3796,8,9
1.0299271018793275,1.357,0.9275237980769231,1.6981001742160278,0.9956,1.6068326086956521,0.8930750000000001,2.1028333333333333,0.8038710306406686,1.3683849865951743,0.93916,1.0596170731707317,1.0121261019878998,1.9161914728682172,0.8436,1.6264666666666667,0.9923784615384617,1.2393025653436593,1.11979270687237,1.9564,0.8859,1.835,1.0558291666666668,1.3835333333333333,1.1685885416666668,1.919426778242678,0.9099150523560211,1.84225,1.0754224233983287,1.392,1.1412,1.776,0.9093,1.8058,1.050429411764706,1.4199,,,,,,,,,,,,,,,,,,,0.8970753602305475,2.1962,0.87755,1.5038,0.9849254861821904,1.1997,0.8385463414634146,2.338561168032787,0.8139785522788203,1.3599509785647717,0.9213,1.0254453346855985,,,,,,,1.11835,1.901525,0.8820666666666667,1.8165,1.0404,1.3655,,,,,,,1.2385,1.7759411805555556,0.9552334645669291,1.9444731448763255,1.1040171779141106,1.5159799999999999,1.060960904255319,1.4643499999999998,0.8973333333333334,1.6831857510729615,0.996292349137931,1.4214071653543305,1.1468,1.5744500000000001,0.9222333333333333,1.8171499999999998,1.0623,1.5153610441767067,,,,,,,,,,,,,0.8775,2.0676,0.8472,1.476,0.9698,1.2028,0.8370599999999999,2.340019920318725,0.8207116071428572,1.358274926253687,0.922507654723127,1.0254652267818576,,,,,,,1.119419642857143,1.900475,0.8815094138543517,1.8172470070422537,1.0408273666092942,1.3679079638752052,1.2387,1.7792400000000002,0.9503324503311258,1.9426798882681566,1.1039273869346735,1.5148,1.0597,1.4634,0.8961033434650457,1.68145,0.9954782816229117,1.4182811158798283,9,10
