1_2_LC08_172029_20150423_blue,1_2_LC08_172029_20150423_green,1_2_LC08_172029_20150423_red,1_2_LC08_172029_20150423_nir,1_2_LC08_172029_20150423_swir1,1_2_LC08_172029_20150423_swir2,1_2_LC08_172029_20150610_blue,1_2_LC08_172029_20150610_green,1_2_LC08_172029_20150610_red,1_2_LC08_172029_20150610_nir,1_2_LC08_172029_20150610_swir1,1_2_LC08_172029_20150610_swir2,1_2_LC08_172029_20150712_blue,1_2_LC08_172029_20150712_green,1_2_LC08_172029_20150712_red,1_2_LC08_172029_20150712_nir,1_2_LC08_172029_20150712_swir1,1_2_LC08_172029_20150712_swir2,1_2_LC08_172029_20150728_blue,1_2_LC08_172029_20150728_green,1_2_LC08_172029_20150728_red,1_2_LC08_172029_20150728_nir,1_2_LC08_172029_20150728_swir1,1_2_LC08_172029_20150728_swir2,1_2_LC08_172029_20150813_blue,1_2_LC08_172029_20150813_green,1_2_LC08_172029_20150813_red,1_2_LC08_172029_20150813_nir,1_2_LC08_172029_20150813_swir1,1_2_LC08_172029_20150813_swir2,1_2_LC08_172029_20150829_blue,1_2_LC08_172029_20150829_green,1_2_LC08_172029_20150829_red,1_2_LC08_172029_20150829_nir,1_2_LC08_172029_20150829_swir1,1_2_LC08_172029_20150829_swir2,1_2_LC08_172029_20150930_blue,1_2_LC08_172029_20150930_green,1_2_LC08_172029_20150930_red,1_2_LC08_172029_20150930_nir,1_2_LC08_172029_20150930_swir1,1_2_LC08_172029_20150930_swir2,1_2_LC08_173028_20150414_blue,1_2_LC08_173028_20150414_green,1_2_LC08_173028_20150414_red,1_2_LC08_173028_20150414_nir,1_2_LC08_173028_20150414_swir1,1_2_LC08_173028_20150414_swir2,1_2_LC08_173028_20150430_blue,1_2_LC08_173028_20150430_green,1_2_LC08_173028_20150430_red,1_2_LC08_173028_20150430_nir,1_2_LC08_173028_20150430_swir1,1_2_LC08_173028_20150430_swir2,1_2_LC08_173028_20150516_blue,1_2_LC08_173028_20150516_green,1_2_LC08_173028_20150516_red,1_2_LC08_173028_20150516_nir,1_2_LC08_173028_20150516_swir1,1_2_LC08_173028_20150516_swir2,1_2_LC08_173028_20150601_blue,1_2_LC08_173028_20150601_green,1_2_LC08_173028_20150601_red,1_2_LC08_173028_20150601_nir,1_2_LC08_173028_20150601_swir1,1_2_LC08_173028_20150601_swir2,1_2_LC08_173028_20150719_blue,1_2_LC08_173028_20150719_green,1_2_LC08_173028_20150719_red,1_2_LC08_173028_20150719_nir,1_2_LC08_173028_20150719_swir1,1_2_LC08_173028_20150719_swir2,1_2_LC08_173028_20150804_blue,1_2_LC08_173028_20150804_green,1_2_LC08_173028_20150804_red,1_2_LC08_173028_20150804_nir,1_2_LC08_173028_20150804_swir1,1_2_LC08_173028_20150804_swir2,1_2_LC08_173028_20150820_blue,1_2_LC08_173028_20150820_green,1_2_LC08_173028_20150820_red,1_2_LC08_173028_20150820_nir,1_2_LC08_173028_20150820_swir1,1_2_LC08_173028_20150820_swir2,1_2_LC08_173028_20150905_blue,1_2_LC08_173028_20150905_green,1_2_LC08_173028_20150905_red,1_2_LC08_173028_20150905_nir,1_2_LC08_173028_20150905_swir1,1_2_LC08_173028_20150905_swir2,1_2_LC08_173028_20150921_blue,1_2_LC08_173028_20150921_green,1_2_LC08_173028_20150921_red,1_2_LC08_173028_20150921_nir,1_2_LC08_173028_20150921_swir1,1_2_LC08_173028_20150921_swir2,1_2_LC08_173028_20151007_blue,1_2_LC08_173028_20151007_green,1_2_LC08_173028_20151007_red,1_2_LC08_173028_20151007_nir,1_2_LC08_173028_20151007_swir1,1_2_LC08_173028_20151007_swir2,1_2_LC08_173029_20150414_blue,1_2_LC08_173029_20150414_green,1_2_LC08_173029_20150414_red,1_2_LC08_173029_20150414_nir,1_2_LC08_173029_20150414_swir1,1_2_LC08_173029_20150414_swir2,1_2_LC08_173029_20150430_blue,1_2_LC08_173029_20150430_green,1_2_LC08_173029_20150430_red,1_2_LC08_173029_20150430_nir,1_2_LC08_173029_20150430_swir1,1_2_LC08_173029_20150430_swir2,1_2_LC08_173029_20150516_blue,1_2_LC08_173029_20150516_green,1_2_LC08_173029_20150516_red,1_2_LC08_173029_20150516_nir,1_2_LC08_173029_20150516_swir1,1_2_LC08_173029_20150516_swir2,1_2_LC08_173029_20150601_blue,1_2_LC08_173029_20150601_green,1_2_LC08_173029_20150601_red,1_2_LC08_173029_20150601_nir,1_2_LC08_173029_20150601_swir1,1_2_LC08_173029_20150601_swir2,1_2_LC08_173029_20150719_blue,1_2_LC08_173029_20150719_green,1_2_LC08_173029_20150719_red,1_2_LC08_173029_20150719_nir,1_2_LC08_173029_20150719_swir1,1_2_LC08_173029_20150719_swir2,1_2_LC08_173029_20150804_blue,1_2_LC08_173029_20150804_green,1_2_LC08_173029_20150804_red,1_2_LC08_173029_20150804_nir,1_2_LC08_173029_20150804_swir1,1_2_LC08_173029_20150804_swir2,1_2_LC08_173029_20150905_blue,1_2_LC08_173029_20150905_green,1_2_LC08_173029_20150905_red,1_2_LC08_173029_20150905_nir,1_2_LC08_173029_20150905_swir1,1_2_LC08_173029_20150905_swir2,1_2_LC08_173029_20150921_blue,1_2_LC08_173029_20150921_green,1_2_LC08_173029_20150921_red,1_2_LC08_173029_20150921_nir,1_2_LC08_173029_20150921_swir1,1_2_LC08_173029_20150921_swir2,system:index,field_id
0.0635702436775553,0.09485421912332294,0.12620082518285425,0.2035583420099593,0.34326330543933053,0.26415005185185186,0.05334505952380951,0.10046749177485331,0.11159715056526207,0.3236807258064517,0.3247893283927031,0.21833698932401852,0.022099460871150937,0.0676295022662802,0.04563962358598996,0.5204077571196694,0.20847863453773036,0.091300268311292,0.022351178074297384,0.07888793525500054,0.054460380570753024,0.44673807931233755,0.19576044142570737,0.08959107142857144,0.050644341347219124,0.10655333135250772,0.114961796875,0.2875895842446334,0.23070782051282052,0.1408913095238095,0.049450146730536715,0.0821642904212756,0.1091527652963671,0.2094837637362638,0.28757602895538126,0.20754965189873417,,,,,,,,,,,,,,,,,,,0.07392749999999998,0.11854624999999999,0.15481191176470588,0.27564,0.3647033333333333,0.26852272887323947,0.067146,0.1146055,0.1399,0.3194357142857142,0.38744950000000006,0.2756478571428571,,,,,,,0.029423220084715845,0.0911112254901961,0.07373091134601645,0.3813726875000001,0.19869848264076273,0.09815445543783106,,,,,,,0.04920053255786303,0.07824320652173913,0.1066824553571429,0.1967690203373015,0.2902828930852236,0.20651549575483727,0.06236833468874757,0.10098152173913041,0.1379400166508087,0.24169759002375305,0.32575129427792915,0.23488803499085206,,,,,,,,,,,,,,,,,,,0.07233250000000002,0.118453879093199,0.15494348802395208,0.280906525,0.36195163173652695,0.26402125,0.067795,0.11517749999999999,0.13943250000000001,0.32533249999999997,0.392955,0.27619,,,,,,,0.026974827457795433,0.09058149999999997,0.07370925463188688,0.38137900215620507,0.19871471872099636,0.09911278923766814,0.048702909921007356,0.07800683012870209,0.106675375443787,0.19680479619999083,0.2897413027793919,0.20554502003585365,0.061417084784355744,0.10035887427050272,0.13748000000000002,0.2417318735383282,0.3256876035774347,0.23390553703494607,0,1
0.03528661780692852,0.05456620566720848,0.04371305255366394,0.28952320312499996,0.18503145114942526,0.11766303738317758,0.019639624281170685,0.054322519213034125,0.044674558865819294,0.3532592951863149,0.15867918821506513,0.08446053717399765,0.05921281574515856,0.10035065789473684,0.14212239597591023,0.24499651578947365,0.2720098111735331,0.18309866555482476,0.07449102114518998,0.12670296351730587,0.18216737501775312,0.3413804375214261,0.3795188235294118,0.24069045983441487,0.040403838545843354,0.051391392617449676,0.0578480230881882,0.08495150120146704,0.14898336956521738,0.16429715000581868,0.04984661079745943,0.061626537035997096,0.07641625586854461,0.11863403548030775,0.2319642708333334,0.2448980178690839,,,,,,,,,,,,,,,,,,,0.03078527994941365,0.05700697678447679,0.030758095488222937,0.543875,0.1963283718282368,0.09089008928571428,0.01828236651835372,0.04525059206447613,0.028046854015952496,0.4388027884615385,0.1500267135445112,0.06877363945578231,,,,,,,0.06958113176599234,0.1252219528301887,0.1811692070759625,0.34919512534006997,0.3760550785969671,0.22899259475939351,,,,,,,0.044481620682263585,0.05772020869199664,0.07202051678538154,0.11083110581694,0.21244622731731239,0.2131641420807453,0.047492600331988565,0.06212654837457768,0.0759228789808917,0.12065985357609026,0.2221243901351008,0.21069092509468373,,,,,,,,,,,,,,,,,,,0.03387499999999999,0.056914821428571426,0.02877772333044232,0.54540125,0.19434725000000003,0.09099197368421053,0.017683468426013184,0.044687240406320536,0.0271235767914845,0.43648752744510977,0.14989533333333332,0.06790497277227722,,,,,,,0.06958257985342922,0.12477642066420666,0.18118701449794167,0.34915471056687786,0.3759383569379706,0.22988857057890566,0.046817155056368846,0.05894633720169276,0.07251675292114473,0.11179245253435685,0.21238514097744357,0.21269490744118186,0.04992096038434527,0.06311847308031776,0.07641402206592936,0.12065474105461393,0.22123853918972922,0.20969758885875384,1,2
0.026666559416715023,0.04278838218793829,0.02792987179487179,0.30761798144876323,0.140365114659831,0.07884843728984534,0.016170353868147757,0.04790674418604652,0.034797075471698115,0.39203551592988645,0.139424362244898,0.06665016304347826,0.06665561598812551,0.10815515801590624,0.15180900067434383,0.26904274999999994,0.28280170997921,0.18018179204411183,0.07348964683059088,0.13062627071823205,0.18987400463788798,0.3589268285067873,0.3955290464495001,0.24270640465621457,0.07202618055555557,0.13139919802276812,0.1908569797936372,0.36242694444444457,0.37201117187500005,0.22028791434927697,0.06811402299774845,0.11650764042623493,0.16846000000000003,0.32327009118622313,0.35589767689906354,0.22998361839125092,,,,,,,,,,,,,,,,,,,,,,,,,0.016053486079224296,0.038638491472172375,0.020045642172475658,0.49121755107003895,0.13191281941916463,0.05415058167123032,,,,,,,0.06716530561955965,0.12768731797881178,0.18606988095238094,0.3661163185706061,0.3818570071842242,0.22508879087405198,,,,,,,0.0651921196454948,0.11446975924954077,0.16841138214745355,0.3115147705270706,0.35261654411764703,0.2241000509369676,0.05089744651921682,0.07993621758986447,0.10517442083333334,0.19978578639137065,0.28656804649513773,0.20656379392772878,,,,,,,,,,,,,,,,,,,,,,,,,0.01905819956724974,0.03863459133679703,0.018979620036691156,0.49323195627056937,0.13174038552895503,0.053164846446887404,,,,,,,0.06713378497432265,0.12767559834123224,0.18601451782931525,0.366176550094518,0.3816957148683722,0.22602784204671855,0.06609458333333335,0.11448449999999996,0.16748112499999998,0.31154772058823527,0.3526254009095261,0.22316494774678824,0.05138263342787158,0.07947109954083306,0.10476264075887394,0.19975549684027016,0.285634080572712,0.20559128470281351,2,3
0.06016268018622975,0.08996845614614805,0.11842741142706338,0.19458838780076287,0.3188832563083594,0.25053293802239396,0.057977499999999994,0.09580783783783783,0.12329942857142857,0.23348404494382033,0.30519295489986864,0.2377788768115942,0.0423556626724764,0.07383527067001922,0.05736009533366784,0.3779260912443874,0.24975087081712066,0.14886761528112818,0.028694986722306522,0.06162857936195352,0.04859752061073738,0.3365174949855836,0.20264597656250002,0.11275906305506211,0.03063323102134822,0.07554518023069531,0.0705343593106996,0.33444711242742825,0.22312270708697646,0.12549539215686273,0.028928528269252587,0.07653514084507045,0.07008746624915622,0.3296292226092464,0.22120822494827075,0.12452677453353923,,,,,,,,,,,,,,,,,,,0.02433125,0.056433553811659196,0.04868249999999999,0.19822975609756097,0.16553,0.09885625,0.05615004169369771,0.0903120308854073,0.11959047752808989,0.2157350771294433,0.31006514705882354,0.23973388632429327,,,,,,,0.029173065683035192,0.07442911790422384,0.06907316009463722,0.32861719848642584,0.21727590422104073,0.12354379634962918,,,,,,,0.03650084061135372,0.09193083333333334,0.09783803879310346,0.3071251948346171,0.2338952648922687,0.13628770341483978,0.03943964039345938,0.06848629828966338,0.08629442893401014,0.19208590154550656,0.22390109567110658,0.17156762681958532,,,,,,,,,,,,,,,,,,,0.02512874999999999,0.05675374999999999,0.04679875,0.198035,0.16723853188662532,0.10316,0.05639440362744757,0.08934769959240857,0.11864647222222219,0.21575713311996197,0.3100044230769231,0.238767337962963,,,,,,,0.029160644185744017,0.07394422765683187,0.0690839466292135,0.32859589445403203,0.21724410603371785,0.1235793935670015,0.035292015015015006,0.09170166666666668,0.09744337604290823,0.3071137189802978,0.23293199881876475,0.13620555543525337,0.03894633009453782,0.06823131983662767,0.08581655199374512,0.19216013454638647,0.22388811343612336,0.17067188937351307,3,4
0.04332,0.05753750000000002,0.06752000000000002,0.12360625,0.23168304347826088,0.21143486607142858,0.0774475,0.12406135802469138,0.10799999999999998,0.50838625,0.18139078807740328,0.09545460151006713,0.039525000000000005,0.09003010853293412,0.09884564399421125,0.3610721967654987,0.23310328718354437,0.1409923678414097,0.04059750000000001,0.08668749999999997,0.1076975,0.3285666037735849,0.27601125,0.16592581967213116,0.09504750000000001,0.1504875,0.20042749999999998,0.349285,0.3782294290123457,0.26336125,0.0544575,0.08578000000000002,0.10993013333333333,0.18820208221024257,0.2781975,0.23027757478632477,,,,,,,,,,,,,,,,,,,,,,,,,0.0264887356321839,0.07993837174348697,0.05059379518072289,0.5379848113207548,0.1829188189655172,0.07971625,,,,,,,0.0431,0.08627701219512195,0.1124172756410256,0.3261025,0.27853770161290325,0.163275,,,,,,,0.05497999999999997,0.08635749999999998,0.11245500000000003,0.1837625,0.27268604691075515,0.21950001229508195,0.04299,0.06083749999999999,0.07665,0.134235,0.23678249999999998,0.20391083333333335,0.052202499999999985,0.0835525,0.10280250000000002,0.16806,0.2638425,0.21868749999999998,,,,,,,,,,,,,,,,,,,0.027260000000000006,0.07986211024498886,0.04987445558739254,0.534195,0.18310587116912597,0.0798112584231806,,,,,,,0.0415325,0.0864125,0.11209750000000002,0.32654869877049175,0.27784821839080465,0.16366000000000003,0.05353625000000001,0.085725,0.1116797206303725,0.18403750000000002,0.2722025,0.21906794672131147,0.044997499999999996,0.0615788190184049,0.07728249999999998,0.13369,0.236095,0.20294541666666666,4,5
0.029239999999999988,0.04705999999999999,0.03408,0.31172000000000005,0.15937,0.09540500000000002,0.019779999999999992,0.055530000000000024,0.046619999999999995,0.33581,0.1596725,0.08456999999999998,0.041972499999999996,0.07651249999999998,0.10085,0.23098000000000002,0.23433500000000002,0.150515,0.06807000000000002,0.11836750000000001,0.15939750000000003,0.26728,0.333335,0.25353,0.07279999999999998,0.1201275,0.15948,0.2569125,0.33515,0.26315500000000003,0.07579750000000002,0.11919249999999998,0.15774749999999998,0.247205,0.326845,0.2587,,,,,,,,,,,,,,,,,,,0.02761749999999999,0.05646499999999999,0.028607500000000008,0.5854275,0.1970175,0.09622999999999998,0.01686499999999999,0.04436499999999999,0.02453749999999999,0.46979,0.14988249999999997,0.06862000000000001,,,,,,,0.06685999999999998,0.10962250000000001,0.1471325,0.24838749999999998,0.332015,0.2605425,,,,,,,0.07136999999999999,0.11443500000000001,0.15277000000000002,0.23493999999999998,0.31425,0.2477275,0.06273499999999999,0.0986225,0.128625,0.2162675,0.3027,0.23213499999999998,0.06229499999999999,0.10755999999999999,0.13497750000000003,0.2642275,0.3159825,0.23098000000000002,,,,,,,,,,,,,,,,,,,0.020852499999999996,0.046152499999999985,0.025389999999999996,0.469845,0.15045999999999998,0.0691425,,,,,,,0.06606250000000002,0.10909999999999997,0.14628000000000002,0.24827749999999998,0.33160249999999997,0.26145,0.07169999999999999,0.11388500000000001,0.152935,0.2354075,0.31403,0.2472875,0.061305,0.09779749999999998,0.12826749999999998,0.2163775,0.30236999999999997,0.23109000000000002,5,6
0.05271291208791211,0.07147999999999999,0.08548326779026216,0.15431,0.27389375000000005,0.255015,0.03220999999999999,0.07008324175824177,0.05401672607879928,0.34846000000000005,0.23455499999999999,0.13250250000000002,0.028827500000000006,0.066585,0.037599999999999995,0.4403925,0.2119225,0.10214250000000002,0.04217098529411764,0.08707535714285713,0.09688999999999998,0.32533249999999997,0.2848443480300188,0.17068610677083337,0.042111216814159295,0.0880863926746167,0.10439095873786408,0.3231325,0.27856064975247524,0.16522672379032258,0.05170750000000002,0.09006999999999998,0.11908249999999998,0.2752956466512702,0.3063423922800718,0.204525,,,,,,,,,,,,,,,,,,,0.06014999999999998,0.08869500000000002,0.0860825,0.27476,0.295935,0.23392249999999998,0.040569999999999995,0.073625,0.05979249999999997,0.3106475,0.264145,0.16162500000000002,,,,,,,0.038903593220339,0.08192154392764858,0.09474500000000002,0.32166125,0.27597,0.16062700000000002,,,,,,,0.0519,0.08903567961165049,0.11960500000000002,0.26304500000000003,0.3048175,0.2007585155096012,0.044584999999999986,0.06599391369047618,0.08122423913043479,0.1705625,0.23492674107142858,0.1934975,0.051804955277280865,0.08562416666666667,0.10551557142857143,0.199905,0.27368750000000003,0.21624,,,,,,,,,,,,,0.050992499999999996,0.08217750000000001,0.08388250000000003,0.2623025,0.294835,0.23862500000000003,0.042082499999999995,0.07387861111111109,0.05877500000000002,0.30941,0.257435,0.1603325,,,,,,,0.0386725,0.08192841040462427,0.09462839677891655,0.32093184782608697,0.27586,0.16147375,0.05151499999999998,0.08878666666666668,0.11934504194630872,0.26288,0.30426749999999997,0.20025295918367347,0.04506113416320885,0.0658975,0.0808025,0.1700125,0.2345410863095238,0.19247902400835076,6,7
0.0309175,0.04987875,0.03475374999999999,0.31890300000000005,0.16729,0.09449358681462142,0.018250872093023257,0.05124687500000001,0.03740750000000001,0.3733765566037736,0.14577583333333335,0.07248549126637553,,,,,,,0.070655,0.11730416666666665,0.15897125,0.26248812499999996,0.33344892857142855,0.25555613751406075,0.06946071428571429,0.11459312500000002,0.15353999999999998,0.242949375,0.3206261126662002,0.2553658090024331,0.06629597203504044,0.10779830139372822,0.14539999999999997,0.22530583333333332,0.30196666666666666,0.2444446875,,,,,,,,,,,,,,,,,,,0.036500000000000005,0.062460000000000016,0.037654999999999994,0.5674975,0.21071250000000002,0.10698249999999998,0.1926175,0.2092275,0.20216,0.459945,0.3074575,0.22658,,,,,,,0.06379674290220819,0.10386583333333334,0.13943311748195666,0.23292950604838705,0.31698350000000003,0.25053125302297463,,,,,,,0.06429195965417867,0.10522671482412062,0.14096791666666666,0.2150575,0.28868678571428574,0.23296343749999998,0.05550250000000001,0.0897242857142857,0.11697387493784187,0.20441613721804516,0.27863653616703954,0.21228411748633882,0.054081666666666674,0.09873937499999999,0.12379285714285714,0.2424475,0.28364904622741766,0.20635180521091812,,,,,,,,,,,,,,,,,,,0.054815,0.08962999999999999,0.064,0.47661000000000003,0.24065999999999999,0.1584625,,,,,,,0.06407638888888889,0.104106,0.13939605977062197,0.23283625,0.3168114285714286,0.2523688888888889,0.06433,0.10525916666666667,0.1407855,0.21503000000000003,0.28848853818615755,0.23282642857142857,0.054280023428886444,0.0890415,0.11594315208667737,0.20446152831094047,0.2778666232921275,0.2113188524590164,7,8
0.047087500000000004,0.0657875,0.07827250000000002,0.1556575,0.2574075,0.2335375,0.042660000000000003,0.078795,0.07299250000000002,0.29117750000000003,0.2521275,0.18566,0.026242500000000002,0.061524999999999996,0.038122500000000004,0.47847999999999996,0.21976,0.10654249999999998,0.027205000000000007,0.07423000000000002,0.06446750000000001,0.40989500000000006,0.21978750000000002,0.1171025,0.045410000000000006,0.09702749999999999,0.11163000000000001,0.37351249999999997,0.2602125,0.1484525,0.042192499999999994,0.0827,0.1044525,0.321015,0.2586175,0.1552175,,,,,,,,,,,,,,,,,,,,,,,,,0.05154249999999999,0.07997749999999998,0.07906999999999997,0.2796825,0.27839,0.2196225,,,,,,,0.0327325,0.07917999999999997,0.08006000000000002,0.3794525,0.23851499999999998,0.13033,,,,,,,0.06257000000000001,0.10931999999999997,0.14716,0.34395000000000003,0.30616499999999996,0.18574249999999998,0.044749999999999984,0.0776675,0.10368250000000001,0.21954,0.2618625,0.18035250000000003,0.04986499999999999,0.09482750000000001,0.12029250000000002,0.24913000000000002,0.29379,0.2002625,,,,,,,,,,,,,,,,,,,0.05132249999999999,0.07906999999999997,0.08143499999999998,0.28191,0.276795,0.21811000000000003,,,,,,,0.03135750000000001,0.07906999999999997,0.07838250000000002,0.3778025,0.237195,0.1303025,0.061415,0.10943000000000003,0.1469125,0.3441975,0.30589000000000005,0.18516500000000002,0.043842500000000006,0.0772275,0.103105,0.21965,0.26158750000000003,0.17939,8,9
0.055084090121317146,0.07379000000000002,0.08336916666666666,0.17237199999999997,0.2669801040582726,0.241705873015873,0.021064533426183855,0.05828,0.045575,0.3782791666666667,0.17605923728813563,0.09161878865979381,0.03198999999999999,0.07295188162544171,0.07829225151253241,0.3268255341055341,0.24734439917127074,0.14090251508042897,0.04362250000000001,0.09035302083333335,0.10794299438990183,0.3381365,0.304625,0.18047166666666667,0.05022663939790576,0.09577485421166305,0.12139250000000001,0.32784236401673633,0.306715,0.1828,0.05005749999999998,0.08888750000000001,0.11382999999999999,0.2884,0.296595,0.1905398469387755,,,,,,,,,,,,,,,,,,,0.041326249999999995,0.07085450870010236,0.04669572406340058,0.403955,0.21359999999999998,0.12991750000000002,0.02381801215277778,0.0533575,0.030470567548746517,0.4423944597887897,0.1739865191053122,0.08232218682505399,,,,,,,0.042550000000000004,0.08606832095096585,0.10754625000000001,0.322919375,0.29946065277777784,0.17551250000000002,,,,,,,0.06268920275590552,0.10367841309823679,0.1405325,0.28848555014749266,0.3347595,0.2168945,0.04676666666666667,0.07403750000000002,0.091665,0.20248688588850172,0.26282190772532193,0.1908772339055794,0.053614166666666664,0.0921325,0.11536999999999999,0.23297375,0.29973916666666667,0.21672428714859437,,,,,,,,,,,,,0.03298000000000001,0.066695,0.0413125,0.36859000000000003,0.20590000000000003,0.13077,0.02571575757575758,0.05386786016949153,0.0301915,0.44445170999187655,0.173525604719764,0.08165458423326136,,,,,,,0.04241508880994672,0.08626110449735447,0.10784040178571429,0.32281166666666666,0.3000307042253521,0.17633749999999998,0.061341423841059624,0.10342902173913045,0.140656525,0.2885037235841082,0.334236969273743,0.21644625,0.0464,0.07377600299401199,0.09141749999999998,0.20247625000000002,0.26239875,0.19002730686695282,9,10
